"X.ppt_224428.","X.E5FXB3tr.Glycine.rich.RNA.binding.protein..Sequoia.sempervirens..California.redwood...Taxodium.sempervirens..","X.GO.0006397..GO.0051252..GO.0003729..GO.0005634..GO.1990904.","X.NO.H."
"ppt_219766","---NA---","","HUB"
"ppt_245224","---NA---","","HUB"
"ppt_226045","---NA---","","HUB"
"ppt_63082","---NA---","","HUB"
"ppt_114863","A9NWB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016021","HUB"
"ppt_133951","Q9LSQ4sp=Indole-3-acetic acid-amido synthetase GH3.6 Arabidopsis thaliana (Mouse-ear cress)","GO:0009734, GO:0009826, GO:0010252, GO:0010279, GO:0005737","HUB"
"ppt_125286","A9NTA0tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0030001, GO:0046872","HUB"
"ppt_202189","---NA---","","HUB"
"ppt_236384","Q9LV11sp=ATPase 11, plasma membrane-type Arabidopsis thaliana (Mouse-ear cress)","GO:0009651, GO:0051453, GO:0120029, GO:0005524, GO:0008553, GO:0016887, GO:0046872, GO:0005886, GO:0016021","HUB"
"ppt_192193","---NA---","","HUB"
"ppt_122387","A9NM48tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006470, GO:0004722, GO:0043169","HUB"
"ppt_87387","---NA---","","HUB"
"ppt_159835","EnsemblPlants:EMT06479} Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)","","HUB"
"ppt_176959","A9P0R5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_159834","EnsemblPlants:EMT06479} Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)","","HUB"
"ppt_164815","A0A0C9S8V4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_10369_1553 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_46842","A0A0C9S878tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_12179_1769 transcribed RNA sequence  Wollemia nobilis","GO:0016021","HUB"
"ppt_107092","E5GBI5tr=Polygalacturonase  Cucumis melo subsp. melo","GO:0005975, GO:0008152, GO:0071555, GO:0004650, GO:0016787, GO:0016798, GO:0005576","HUB"
"ppt_165806","---NA---","","HUB"
"ppt_107087","E5GBI5tr=Polygalacturonase  Cucumis melo subsp. melo","GO:0005975, GO:0008152, GO:0071555, GO:0004650, GO:0016787, GO:0016798, GO:0005576","HUB"
"ppt_37871","B8LLK1tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_169677","Q7XBH4sp=Myb-related protein Myb4 Oryza sativa subsp. japonica (Rice)","GO:0009409, GO:0030154, GO:0045893, GO:0003700, GO:0043565, GO:0005634","HUB"
"ppt_55657","A0A0C9S8V4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_10369_1553 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_207410","B8LM46tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020","HUB"
"ppt_218994","---NA---","","HUB"
"ppt_104682","B8LQX6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_66281","A0A0C9S9U9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5984_1922 transcribed RNA sequence  Wollemia nobilis","GO:0045017, GO:0004144, GO:0016020, GO:0016021","HUB"
"ppt_193473","A0A1D1Y3Q0tr=UDP-galactose:fucoside alpha-3-galactosyltransferase  Anthurium amnicola","GO:0010306, GO:0035252, GO:0000139, GO:0016021","HUB"
"ppt_252133","G7JDL2tr=Multi-copper oxidase-like protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0008447, GO:0005886, GO:0009506","HUB"
"ppt_87386","---NA---","","HUB"
"ppt_55653","A0A0C9S8V4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_10369_1553 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_90102","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_112481","---NA---","","HUB"
"ppt_159850","---NA---","","HUB"
"ppt_273555","D5AD95tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_66285","A0A0C9S9U9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5984_1922 transcribed RNA sequence  Wollemia nobilis","GO:0045017, GO:0004144, GO:0016020, GO:0016021","HUB"
"ppt_87390","---NA---","","HUB"
"ppt_144708","---NA---","","HUB"
"ppt_112511","A0A1D6CT10tr=Uncharacterized protein  Triticum aestivum (Wheat)","","HUB"
"ppt_68776","---NA---","","HUB"
"ppt_112470","---NA---","","HUB"
"ppt_212924","O80822sp=Peroxidase 25 Arabidopsis thaliana (Mouse-ear cress)","GO:0006979, GO:0042744, GO:0055114, GO:0098869, GO:0004601, GO:0020037, GO:0046872, GO:0005576, GO:0009505, GO:0009506, GO:0016020","HUB"
"ppt_219009","---NA---","","HUB"
"ppt_87356","A0A0C9S6H0sp=Glycosyltransferase  Wollemia nobilis","GO:0016758","HUB"
"ppt_176960","A9P0R5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_141064","A0A061FI70tr=Kinase superfamily protein  Theobroma cacao (Cacao) (Cocoa)","GO:0006468, GO:0016310, GO:0046777, GO:0004672, GO:0004674, GO:0005524, GO:0016301, GO:0005886, GO:0016020, GO:0016021","HUB"
"ppt_86911","C0PQE2tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_144705","---NA---","","HUB"
"ppt_65745","B8LKE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_245058","A0A078GKL6tr=BnaA02g10950D protein  Brassica napus (Rape)","GO:0030042, GO:0051015, GO:0005737, GO:0015629","HUB"
"ppt_154590","B8LNZ1tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0030001, GO:0046872","HUB"
"ppt_89671","Q9SS01sp=Benzoate--CoA ligase, peroxisomal Arabidopsis thaliana (Mouse-ear cress)","GO:0006629, GO:0006810, GO:0019761, GO:0018858, GO:0022857, GO:0005777, GO:0016020","HUB"
"ppt_178480","---NA---","","HUB"
"ppt_73329","Q7XQR1tr=OSJNBa0091D06.3 protein  Oryza sativa subsp. japonica (Rice)","GO:0010029, GO:1900057, GO:0005634, GO:0005737","HUB"
"ppt_86920","C0PQE2tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_180194","---NA---","","HUB"
"ppt_87389","---NA---","","HUB"
"ppt_66288","A0A0C9S9U9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5984_1922 transcribed RNA sequence  Wollemia nobilis","GO:0045017, GO:0004144, GO:0016020, GO:0016021","HUB"
"ppt_37870","B8LLK1tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_182785","---NA---","","HUB"
"ppt_55432","A0A0L9V7N1tr=Uncharacterized protein  Phaseolus angularis (Azuki bean) (Vigna angularis)","GO:0016491, GO:0046872, GO:0016020","HUB"
"ppt_255556","A9NMQ9tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0030247, GO:0016020, GO:0016021","HUB"
"ppt_167348","A9NQJ9sp=Xyloglucan endotransglucosylase/hydrolase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0010411, GO:0042546, GO:0071555, GO:0004553, GO:0016762, GO:0005618, GO:0048046","HUB"
"ppt_166450","---NA---","","HUB"
"ppt_176975","A0A0C9QVA5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_6905_1909 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_51249","---NA---","","HUB"
"ppt_122807","B9I456tr=NDR1/HIN1-LIKE 25 family protein  Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)","GO:0016021","HUB"
"ppt_236388","Q9LV11sp=ATPase 11, plasma membrane-type Arabidopsis thaliana (Mouse-ear cress)","GO:0009651, GO:0051453, GO:0120029, GO:0005524, GO:0008553, GO:0016887, GO:0046872, GO:0005886, GO:0016021","HUB"
"ppt_244559","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_144177","EnsemblPlants:GLYMA13G23990.1} Glycine max (Soybean) (Glycine hispida)","GO:0005737, GO:0043231","HUB"
"ppt_130244","A0A0C9S8V4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_10369_1553 transcribed RNA sequence  Wollemia nobilis","GO:0016020","HUB"
"ppt_251913","A0A0A7REG5tr=Late embryogenesis abundant protein LEA7-1  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0006873, GO:0006970, GO:0009414, GO:0009737, GO:0009845, GO:0010226, GO:0005730, GO:0005829","HUB"
"ppt_132789","D3UAG3sp=Phloretin 2'-O-glucosyltransferase  Pyrus communis (Pear) (Pyrus domestica)","GO:0035251","HUB"
"ppt_52200","---NA---","","HUB"
"ppt_226088","A9NVW4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_212928","P22196sp=Cationic peroxidase 2 Arachis hypogaea (Peanut)","GO:0006979, GO:0042744, GO:0055114, GO:0098869, GO:0004601, GO:0020037, GO:0046872, GO:0005576, GO:0009505, GO:0009506","HUB"
"ppt_83870","A9NZA1sp=Peroxidase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006979, GO:0042744, GO:0055114, GO:0098869, GO:0004601, GO:0020037, GO:0046872, GO:0005576","HUB"
"ppt_236386","---NA---","","HUB"
"ppt_159837","EnsemblPlants:EMT06479} Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)","","HUB"
"ppt_46841","A0A0C9S878tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_12179_1769 transcribed RNA sequence  Wollemia nobilis","GO:0016021","HUB"
"ppt_258252","---NA---","","HUB"
"ppt_66283","A0A0C9S9U9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5984_1922 transcribed RNA sequence  Wollemia nobilis","GO:0045017, GO:0004144, GO:0016020, GO:0016021","HUB"
"ppt_167340","A9NQJ9sp=Xyloglucan endotransglucosylase/hydrolase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0010411, GO:0042546, GO:0071555, GO:0004553, GO:0016762, GO:0005618, GO:0048046","HUB"
"ppt_33170","A9NVT0tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_219005","---NA---","","HUB"
"ppt_107090","A0A0K9NXQ7tr=Polygalacturonase, family GH28  Zostera marina (Eelgrass)","GO:0005975, GO:0008152, GO:0071555, GO:0004650, GO:0016787, GO:0016798, GO:0016829, GO:0005576","HUB"
"ppt_199532","A0A061GK64tr=IQ-domain 6  Theobroma cacao (Cacao) (Cocoa)","GO:0005634","HUB"
"ppt_45280","M4HXW5sp=Monofunctional isopimaradiene synthase, chloroplastic  Pinus banksiana (Jack pine) (Pinus divaricata)","GO:0006952, GO:0000287, GO:0010333, GO:0009507","HUB"
"ppt_121068","---NA---","","HUB"
"ppt_84064","A9P255tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_219461","D5A9U3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006470, GO:0004722, GO:0043169","HUB"
"ppt_46843","A0A0C9S878tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_12179_1769 transcribed RNA sequence  Wollemia nobilis","GO:0016021","HUB"
"ppt_85086","W9QHJ5tr=Putative receptor-like protein kinase  Morus notabilis","GO:0006468, GO:0016310, GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0016301, GO:0030247, GO:0016020, GO:0016021","HUB"
"ppt_132360","A0A0D6R3P9tr=Uncharacterized protein  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0006355, GO:0003677","HUB"
"ppt_159847","---NA---","","HUB"
"ppt_226041","---NA---","","HUB"
"ppt_52197","---NA---","","HUB"
"ppt_69813","A9SAC3tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0055114, GO:0005507, GO:0016491, GO:0005576, GO:0009506, GO:0016021","HUB"
"ppt_192194","---NA---","","HUB"
"ppt_226089","A9NVW4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_218919","A1YIQ6tr=Putative zinc transporter  Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","GO:0071577, GO:0005385, GO:0016491, GO:0016021","HUB"
"ppt_250042","---NA---","","HUB"
"ppt_170927","B8LKC3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_219576","D7L4S6tr=Putative uncharacterized protein  Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)","GO:0016020, GO:0016021","HUB"
"ppt_88775","A0A078IQ15tr=BnaAnng12200D protein  Brassica napus (Rape)","","HUB"
"ppt_122388","A9NM48tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006470, GO:0004722, GO:0043169","HUB"
"ppt_112472","---NA---","","HUB"
"ppt_220687","A4L7R7sp=Defensin-1 Pinus sylvestris (Scots pine)","GO:0050829, GO:0050832, GO:0005576","HUB"
"ppt_166012","---NA---","","HUB"
"ppt_218471","---NA---","","HUB"
"ppt_178064","Q9SS01sp=Benzoate--CoA ligase, peroxisomal Arabidopsis thaliana (Mouse-ear cress)","GO:0006629, GO:0019761, GO:0018858, GO:0005777","HUB"
"ppt_147969","A0A0K0M7A3tr=CYP78A1  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_212925","O80822sp=Peroxidase 25 Arabidopsis thaliana (Mouse-ear cress)","GO:0006979, GO:0042744, GO:0055114, GO:0098869, GO:0004601, GO:0020037, GO:0046872, GO:0005576, GO:0009505, GO:0009506, GO:0016020","HUB"
"ppt_146023","---NA---","","HUB"
"ppt_180000","---NA---","","HUB"
"ppt_63975","---NA---","","HUB"
"ppt_138478","A0A0C9S9Q4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7128_2215 transcribed RNA sequence  Wollemia nobilis","GO:0007166","HUB"
"ppt_159851","---NA---","","HUB"
"ppt_140607","D5A7S6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_138477","A0A0C9S9Q4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7128_2215 transcribed RNA sequence  Wollemia nobilis","GO:0007166","HUB"
"ppt_151218","B8LLA8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_140844","A9NWN7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_144704","---NA---","","HUB"
"ppt_158012","A0A0C9S4N9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13835_2077 transcribed RNA sequence  Wollemia nobilis","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016020","HUB"
"ppt_151748","---NA---","","HUB"
"ppt_223521","---NA---","","HUB"
"ppt_271816","B8LR43sp=Glycosyltransferase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016758","HUB"
"ppt_204107","---NA---","","HUB"
"ppt_166454","---NA---","","HUB"
"ppt_171237","T1SFX4tr=ERF-like  Tarenaya spinosa","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_202974","A9NN22tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_143616","A9P1L3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020","HUB"
"ppt_238475","---NA---","","HUB"
"ppt_36315","D5A9Z3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_226608","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_153855","---NA---","","HUB"
"ppt_115865","---NA---","","HUB"
"ppt_121956","Q6L7J7tr=Harpin inducing protein 1-like 18  Nicotiana tabacum (Common tobacco)","GO:0110165","HUB"
"ppt_226042","---NA---","","HUB"
"ppt_161814","A0A0C9RJA6tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_14872_4890 transcribed RNA sequence  Wollemia nobilis","GO:0000166, GO:0005524, GO:0016887, GO:0016020, GO:0016021","HUB"
"ppt_104113","D5AB87tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0046983","HUB"
"ppt_170647","B8LKC3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_223001","---NA---","","HUB"
"ppt_90101","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_178479","---NA---","","HUB"
"ppt_240082","---NA---","","HUB"
"ppt_228633","---NA---","","HUB"
"ppt_48532","---NA---","","HUB"
"ppt_224707","---NA---","","HUB"
"ppt_107420","A0A176WCB6tr=Uncharacterized protein  Marchantia polymorpha subsp. polymorpha","GO:0043531","HUB"
